Group,Stimuli_Type,Item,PrimeCondition,Sentence,Picture1,Picture2,CorPic
A,Filler_Type2,F28,NA,Pirnid on kastides,pear_all.png,ship_all.png,L
A,Filler_Type1,F1,NA,K&otildeik rongid on kastides,train_all.png,train_none.png,L
A,Filler_Type2,F29,NA,Prillid on kastides,pineapple_all.png,glasses_all.png,R
A,Prime,P1,Uwide,K&otildeik tiigrid ei ole kastides,tiger_none.png,tiger_all.png,L
A,Prime,P2,Uwide,K&otildeik arbuusid ei ole kastides,melon_all.png,melon_none.png,R
A,Target,T1,Uwide,K&otildeik pliiatsid ei ole kastides,pencil_none.png,pencil_some.png,L
A,Filler_Type2,F30,NA,Puud on kastides,tree_all.png,key_all.png,L
A,Filler_Type2,F31,NA,Kaelkirjakud on kastides,mushroom_all.png,giraffe_all.png,R
A,Prime,P3,Uwide,K&otildeik bussid ei ole kastides,bus_none.png,bus_all.png,L
A,Prime,P4,Uwide,K&otildeik toolid ei ole kastides,chair_none.png,chair_all.png,L
A,Target,T2,Uwide,K&otildeik kalad ei ole kastides,fish_none.png,fish_some.png,L
A,Filler_Type2,F32,NA,Hamburgerid on kastides,shoe_all.png,hamburger_all.png,R
A,Filler_Type1,F2,NA,K&otildeik arbuusid on kastides ,melon_all.png,melon_some.png,L
A,Prime,P5,NegWide,K&otildeik koerad ei ole kastides,dog_all.png,dog_some.png,R
A,Prime,P6,NegWide,K&otildeik autod ei ole kastides,car_some.png,car_all.png,L
A,Target,T3,NegWide,K&otildeik kruvid ei ole kastides,nail_some.png,nail_none.png,R
A,Filler_Type2,F33,NA,Arbuusid on kastides,glasses_all.png,melon_all.png,R
A,Filler_Type1,F3,NA,K&otildeik kaamerad on kastides,camera_all.png,camera_some.png,L
A,Filler_Type2,F34,NA,Banaanid on kastides,panda_all.png,banana_all.png,R
A,Prime,P7,Uwide,K&otildeik kaktused ei ole kastides,cactus_all.png,cactus_none.png,R
A,Prime,P8,Uwide,K&otildeik l&otildevid ei ole kastides,lion_all.png,lion_none.png,R
A,Target,T4,Uwide,K&otildeik &otildehupallid  ei ole kastides,balloon_some.png,balloon_none.png,R
A,Filler_Type1,F4,NA,K&otildeik ananassid on kastides,pineapple_none.png,pineapple_all.png,R
A,Filler_Type1,F5,NA,K&otildeik telefonid on kastides,telephone_all.png,telephone_some.png,L
A,Filler_Type2,F35,NA,Pallid on kastides,ball_all.png,train_all.png,L
A,Filler_Type1,F6,NA,K&otildeik prillid on kastides ,glasses_all.png,glasses_none.png,L
A,Prime,P9,NegWide,K&otildeik siilid ei ole kastides,hedgehog_some.png,hedgehog_all.png,L
A,Prime,P10,NegWide,K&otildeik raketid ei ole kastides,rocket_all.png,rocket_some.png,R
A,Target,T5,NegWide,K&otildeik laevad ei ole kastides,ship_none.png,ship_some.png,L
A,Filler_Type1,F7,NA,K&otildeik mikrofonid on kastides,microphone_some.png,microphone_all.png,R
A,Filler_Type2,F36,NA,Raamatud on kastides,pear_all.png,book_all.png,R
A,Prime,P11,Uwide,K&otildeik kahvlid ei ole kastides,fork_none.png,fork_all.png,L
A,Prime,P12,Uwide,K&otildeik kassid ei ole kastides,cat_all.png,cat_none.png,R
A,Target,T6,Uwide,K&otildeik puud ei ole kastides,tree_some.png,tree_none.png,R
A,Filler_Type1,F8,NA,K&otildeik haamrid on kastides ,hammer_all.png,hammer_none.png,L
A,Filler_Type2,F37,NA,Elevandid on kastides,elephant_all.png,camera_all.png,L
A,Prime,P13,Uwide,K&otildeik kitarrid ei ole kastides,guitar_all.png,guitar_none.png,R
A,Prime,P14,Uwide,K&otildeik pirnid ei ole kastides,pear_none.png,pear_all.png,L
A,Target,T7,Uwide,K&otildeik jäätised ei ole kastides,icecream_some.png,icecream_none.png,R
A,Filler_Type1,F9,NA,K&otildeik kalad on kastides,fish_all.png,fish_none.png,L
A,Filler_Type1,F10,NA,K&otildeik banaanid on kastides ,banana_none.png,banana_all.png,R
A,Filler_Type2,F38,NA,Kanad on kastides,tree_all.png,chicken_all.png,R
A,Prime,P15,NegWide,K&otildeik seened ei ole kastides,mushroom_some.png,mushroom_all.png,L
A,Prime,P16,NegWide,K&otildeik lehmad ei ole kastides,cow_all.png,cow_some.png,R
A,Target,T8,NegWide,K&otildeik jalgrattad ei ole kastides,bicycle_some.png,bicycle_none.png,R
A,Filler_Type1,F11,NA,K&otildeik kanad on kastides,chicken_all.png,chicken_none.png,L
A,Filler_Type2,F39,NA,Haamrid on kastides,dinosaur_all.png,hammer_all.png,R
A,Filler_Type1,F12,NA,K&otildeik tassid on kastides ,cup_all.png,cup_none.png,L
A,Prime,P17,Uwide,K&otildeik hiired ei ole kastides,mouse_all.png,mouse_none.png,R
A,Prime,P18,Uwide,K&otildeik kanad ei ole kastides,chicken_none.png,chicken_all.png,L
A,Target,T9,Uwide,K&otildeik raamatud ei ole kastides,book_none.png,book_some.png,L
A,Filler_Type2,F40,NA,J&auml&aumltised on kastides,icecream_all.png,fish_all.png,L
